global_step,training/rollout_reward_mean,episode/length,episode/sum_reward,episode/reward/wholebody_hand_clearance,episode/reward/wholebody_arm_clearance,training/v_loss,training/policy_loss,training/entropy_loss,training/sps,rollout/completed_episodes,rollout/done_rate,rollout/termination_step_rate,rollout/timeout_step_rate,rollout/episodes,rollout/termination_rate,rollout/timeout_rate,rollout/pfid/37/episodes,rollout/pfid/37/termination_rate,rollout/pfid/37/timeout_rate,rollout/pfid/38/episodes,rollout/pfid/38/termination_rate,rollout/pfid/38/timeout_rate
1048576,0.17668507993221283,89.536,13.719836270656437,-9.066754608673044,-0.1639727864516275,0.34614911675453186,0.009396515786647797,0.09615638852119446,8045.488732540244,3494.0,0.0033321380615234375,0.00246429443359375,0.0008678436279296875,3494.0,0.7395535203205496,0.2604464796794505,278.0,1.0,0.0,316.0,1.0,0.0
2097152,0.3166847229003906,143.437,32.65493080542609,-8.605494740750641,-0.23557288837715304,0.14956845343112946,0.012256104499101639,0.09568022191524506,88160.8896992246,5555.0,0.0026488304138183594,0.001850128173828125,0.0007987022399902344,2777.5,0.6841872405096198,0.31581275949038023,218.0,1.0,0.0,233.5,1.0,0.0
3145728,0.3436405062675476,214.331,59.78610944889113,-7.792918413673062,-0.16259051864342433,0.10428524762392044,0.012428957037627697,0.09515754878520966,87658.23232055994,7112.0,0.0022608439127604165,0.0014921824137369792,0.0007686614990234375,2370.6666666666665,0.6303915793078475,0.36960842069215244,174.33333333333334,1.0,0.0,185.66666666666666,1.0,0.0
4194304,0.3463529348373413,289.522,88.33577859608224,-8.150286440109834,-0.19318350699716474,0.09264276176691055,0.012642000801861286,0.0944415032863617,87544.85404337099,8576.0,0.002044677734375,0.0012896060943603516,0.0007550716400146484,2144.0,0.5948906790164048,0.4051093209835952,154.5,1.0,0.0,160.75,1.0,0.0
5242880,0.3503362834453583,365.865,117.31684259273484,-7.728605002145748,-0.18255408515926594,0.07354976236820221,0.013158516958355904,0.09367714077234268,87973.70224417181,9949.0,0.0018976211547851562,0.0011526107788085937,0.0007450103759765625,1989.8,0.568265055958936,0.43173494404106405,142.6,1.0,0.0,146.6,1.0,0.0
6291456,0.35054904222488403,416.34,136.38904000499844,-9.178277961209416,-0.22514574035646165,0.07716262340545654,0.011358650401234627,0.09283521771430969,87214.88364162351,11341.0,0.0018026034037272136,0.0010682741800944011,0.0007343292236328125,1890.1666666666667,0.5547323742186535,0.44526762578134643,135.83333333333334,1.0,0.0,137.33333333333334,1.0,0.0
7340032,0.34754425287246704,482.411,161.60658007617263,-8.457200848373585,-0.20415649918212359,0.08323325961828232,0.010831659659743309,0.0922454446554184,87633.71469478116,12749.0,0.0017369134085518973,0.0010100773402622768,0.0007268360682896205,1821.2857142857142,0.5457973921874173,0.45420260781258265,133.14285714285714,1.0,0.0,131.28571428571428,1.0,0.0
8388608,0.34831756353378296,503.005,168.91210879771458,-8.740568468255573,-0.20391453873087675,0.08835159242153168,0.010667799971997738,0.09173103421926498,87696.10027669842,14064.0,0.0016765594482421875,0.0009682178497314453,0.0007083415985107422,1758.0,0.544873098392127,0.455126901607873,126.0,1.0,0.0,127.375,1.0,0.0
9437184,0.32240402698516846,534.514,182.335596561566,-8.734960930065252,-0.15705975979392794,0.11290546506643295,0.008023079484701157,0.09113281965255737,87457.67253700034,17588.0,0.0018636915418836805,0.0009809070163302952,0.0008827845255533854,1954.2222222222222,0.5201179969060047,0.4798820030939953,137.88888888888889,1.0,0.0,138.88888888888889,1.0,0.0
10485760,0.31013497710227966,426.033,139.73709011334273,-9.843534599835285,-0.20355353586841,0.1655292510986328,0.006318254396319389,0.0906209647655487,87723.19160052342,20363.0,0.0019419670104980468,0.001051616668701172,0.000890350341796875,2036.3,0.5318899809991879,0.468110019000812,154.8,1.0,0.0,158.2,1.0,0.0
11534336,0.3293611705303192,503.781,168.3104753509611,-9.23208682206436,-0.24614558481639698,0.1338730752468109,0.007620790973305702,0.08993575721979141,87680.93168844475,22316.0,0.0019347450949928977,0.0010542436079545455,0.0008805014870383523,2028.7272727272727,0.5362757216829187,0.46372427831708135,154.0909090909091,1.0,0.0,158.63636363636363,1.0,0.0
12582912,0.3383476138114929,544.711,183.96416365830228,-9.20253197309561,-0.22427836900381892,0.10419527441263199,0.008741764351725578,0.0891299694776535,87455.21693196225,23991.0,0.0019066333770751953,0.0010360876719156902,0.0008705457051595052,1999.25,0.535217919005362,0.46478208099463797,150.83333333333334,1.0,0.0,155.58333333333334,1.0,0.0
13631488,0.3454500734806061,574.205,195.04617512837797,-8.045594162986614,-0.2148090247691677,0.08551782369613647,0.00992206484079361,0.08848616480827332,87597.71505637026,25312.0,0.0018568772536057692,0.0010027518639197717,0.0008541253896859976,1947.076923076923,0.5308492664108193,0.46915073358918075,144.84615384615384,1.0,0.0,149.84615384615384,1.0,0.0
14680064,0.3495495021343231,602.616,205.05715387173927,-8.52842948828824,-0.1761945079724829,0.07259584963321686,0.010158614255487919,0.08781810849905014,87419.77732291352,26551.0,0.0018086433410644531,0.0009697505405970982,0.0008388928004673549,1896.5,0.5256191129989084,0.4743808870010916,140.85714285714286,1.0,0.0,144.71428571428572,1.0,0.0
15728640,0.34917473793029785,639.527,218.62093579680194,-8.661797553972342,-0.18525148098428232,0.07933427393436432,0.00942879170179367,0.08752793073654175,87468.86189385546,27804.0,0.001767730712890625,0.0009373346964518229,0.0008303960164388021,1853.6,0.5175530981764752,0.4824469018235248,136.2,1.0,0.0,139.4,1.0,0.0
16777216,0.3505391776561737,615.731,209.88428895208983,-8.55011102131754,-0.17738550215061125,0.07150006294250488,0.009510643780231476,0.08706539869308472,87758.77787723977,28911.0,0.0017232298851013184,0.0009081363677978516,0.0008150935173034668,1806.9375,0.5130402662161455,0.48695973378385443,133.1875,1.0,0.0,135.125,1.0,0.0
17825792,0.33745670318603516,764.981,266.03794752994924,-7.887344654604792,-0.21062835219203202,0.07941607385873795,0.008537771180272102,0.08669118583202362,87456.35080610418,31099.0,0.0017446069156422334,0.0008834390079273897,0.0008611679077148438,1829.3529411764705,0.49662634798620336,0.5033736520137966,130.8235294117647,1.0,0.0,132.52941176470588,1.0,0.0
18874368,0.3273429274559021,665.001,228.30330003616214,-8.488693713668741,-0.1773199552100243,0.09509706497192383,0.00664632860571146,0.08633972704410553,87561.86178329095,33258.0,0.001762072245279948,0.0008747842576768664,0.0008872879876030816,1847.6666666666667,0.4886695705351661,0.5113304294648339,132.5,1.0,0.0,133.77777777777777,1.0,0.0
19922944,0.33531397581100464,652.069,222.64403559158742,-8.714472214150708,-0.1808477888131402,0.08502888679504395,0.007638413924723864,0.0856807604432106,87592.0747398261,34881.0,0.001750795464766653,0.0008608667474043997,0.0008899287173622533,1835.842105263158,0.483704408133552,0.5162955918664479,130.8421052631579,1.0,0.0,134.0,1.0,0.0
20971520,0.3407266139984131,677.468,232.2635301096011,-7.744232964374591,-0.18681357005989876,0.07748326659202576,0.007087173871695995,0.08499139547348022,87857.97473296891,36367.0,0.0017341136932373046,0.0008450508117675781,0.0008890628814697266,1818.35,0.4787318391400642,0.5212681608599358,129.25,1.0,0.0,132.15,1.0,0.0
22020096,0.34568995237350464,620.887,211.10910439485437,-7.891869723132811,-0.16615200901108212,0.07036513090133667,0.0076728640124201775,0.08428725600242615,87394.23801662405,37634.0,0.001709075201125372,0.0008291971115838914,0.0008798780895414806,1792.095238095238,0.4761177435941379,0.5238822564058621,126.80952380952381,1.0,0.0,130.42857142857142,1.0,0.0
23068672,0.347107470035553,646.664,220.27342972006974,-7.345161636827513,-0.1551920692424281,0.07525794208049774,0.006849560420960188,0.08358137309551239,87721.88807706999,38942.0,0.0016880902377041903,0.0008142644708806819,0.0008738257668235085,1770.090909090909,0.472720398284813,0.527279601715187,124.5909090909091,1.0,0.0,128.27272727272728,1.0,0.0
